vendor,current_price,old_price,product_name,month
Metro,13.8,49.53,Organic,8
Walmart,20.1,50.29,Organic,4
Metro,18.3,2.61,Organic,1
Metro,40.81,2.12,Organic,2
Walmart,3.09,15.33,Organic,4
TandT,5.1,54.55,Organic,11
Walmart,41.79,18.41,Organic,10
NoFrills,35.12,41.8,Organic,6
Walmart,22.42,40.65,Organic,3
Metro,31.18,37.01,Organic,8
NoFrills,16.06,28.87,Organic,1
NoFrills,35.94,12.13,Organic,7
TandT,18.8,3.74,Organic,4
TandT,0.77,24.26,Organic,6
Metro,28.49,1.88,Organic,9
Walmart,15.04,28.59,Organic,12
TandT,31.01,8,Organic,8
NoFrills,35.52,3.56,Organic,3
NoFrills,4.69,10.72,Organic,10
Metro,28.19,57.77,Organic,1
Metro,24.13,29.8,Organic,4
NoFrills,32.31,45.16,Organic,7
Metro,44.79,3.57,Organic,5
Metro,14.81,21.26,Organic,5
NoFrills,30.66,1.9,Organic,12
TandT,40.73,34.4,Organic,5
Metro,41.07,47.26,Organic,2
NoFrills,2.59,48.04,Organic,11
Walmart,21.82,10.01,Organic,5
TandT,28.6,31.5,Organic,11
TandT,25.36,48.24,Organic,3
Metro,45.63,7.64,Organic,5
NoFrills,28.15,20.28,Organic,12
Walmart,27.76,41.2,Organic,11
Walmart,36.13,35.96,Organic,5
NoFrills,6.42,43.56,Organic,10
NoFrills,19.75,31.24,Organic,9
TandT,30.01,48.36,Organic,8
Metro,21.51,15.01,Organic,8
TandT,45.19,27,Organic,3
NoFrills,32.53,1.74,Organic,1
Metro,29.87,13.05,Organic,1
Walmart,22.13,51.79,Organic,7
NoFrills,20.76,49.66,Organic,5
Metro,46.93,52.41,Organic,2
NoFrills,30.66,39.24,Organic,9
Metro,36.64,45.33,Organic,9
NoFrills,48.34,56.2,Organic,6
NoFrills,3.51,30.89,Organic,7
Metro,4.27,18.82,Organic,9
NoFrills,11.83,47.62,Organic,3
TandT,32.49,1.82,Organic,8
Metro,10.49,47.92,Organic,5
NoFrills,27.31,24.7,Organic,5
Metro,18.67,57.42,Organic,7
Metro,16.43,33.67,Organic,7
Metro,29.82,56.82,Organic,1
NoFrills,2.39,12.72,Organic,5
Walmart,42.12,14.34,Organic,5
Metro,29.88,58.84,Organic,8
NoFrills,3.98,18.27,Organic,3
NoFrills,20.44,55.03,Organic,5
TandT,7.4,45.67,Organic,12
TandT,45.99,41.27,Organic,5
TandT,16.72,38.1,Organic,11
TandT,25.77,55.08,Organic,8
Metro,19.4,15.2,Organic,6
TandT,44.06,39.04,Organic,1
Metro,17.94,45.99,Organic,6
Metro,15.84,21.44,Organic,5
Metro,49.27,8.89,Organic,10
NoFrills,15.8,55.57,Organic,9
TandT,8.59,50.79,Organic,5
NoFrills,38.6,8.7,Organic,5
TandT,38.54,54.3,Organic,11
TandT,27.99,55.45,Organic,7
NoFrills,38.45,12.27,Organic,7
TandT,31.68,35.53,Organic,10
Walmart,15.28,6.63,Organic,3
NoFrills,18.57,54.1,Organic,5
Walmart,11.37,44.55,Organic,9
Walmart,11.36,46.93,Organic,4
NoFrills,31.22,59.89,Organic,9
TandT,0.84,43.96,Organic,1
Metro,39.84,3.77,Organic,9
Walmart,17.32,2.12,Organic,3
NoFrills,45.26,49.32,Organic,11
Walmart,20.72,58.82,Organic,7
Walmart,8.55,8.71,Organic,3
TandT,12.61,35.95,Organic,1
Metro,19.27,38.43,Organic,12
Walmart,24.45,52.12,Organic,3
TandT,34.11,32.18,Organic,2
NoFrills,38.25,44.32,Organic,5
Walmart,19.62,30.15,Organic,4
Walmart,9.34,56.74,Organic,5
NoFrills,9.21,55.8,Organic,8
Metro,2.05,29.98,Organic,5
NoFrills,29.56,37.43,Organic,2
TandT,13.83,25.91,Organic,2
NoFrills,39.41,41.89,Organic,3
NoFrills,45.94,5.45,Organic,7
TandT,43.76,39.82,Organic,6
TandT,34.83,40.66,Organic,11
Walmart,33.5,47.73,Organic,2
NoFrills,39.22,44.64,Organic,2
Metro,39.04,35.33,Organic,3
Walmart,41.64,38.31,Organic,5
Metro,49.02,29.36,Organic,5
TandT,25.98,21.18,Organic,4
TandT,2.24,21.58,Organic,7
TandT,42.59,49.41,Organic,2
Walmart,12.08,43.23,Organic,10
Walmart,23.02,50.58,Organic,5
Metro,32.9,39.34,Organic,10
NoFrills,2.95,4.49,Organic,8
TandT,35.66,55.85,Organic,8
NoFrills,26.6,14.51,Organic,4
Metro,15.5,16.82,Organic,10
NoFrills,38.13,49.6,Organic,10
Metro,8.78,51.71,Organic,1
NoFrills,18.52,57.37,Organic,8
TandT,39.96,13.58,Organic,2
Metro,3.14,17.71,Organic,12
TandT,7.8,43.91,Organic,4
NoFrills,5.13,10.58,Organic,2
Metro,5.17,39.64,Organic,11
TandT,26.51,23.43,Organic,3
Walmart,24.7,46.45,Organic,7
Metro,14.06,52.81,Organic,1
Walmart,29.4,44.44,Organic,8
TandT,1.37,46.93,Organic,3
NoFrills,23.65,50.99,Organic,9
Metro,43.53,44.86,Organic,6
NoFrills,16.07,8.1,Organic,11
Metro,11.65,15.61,Organic,11
Walmart,13.97,10.63,Organic,3
Walmart,12.08,50.38,Organic,5
Metro,16.87,29.6,Organic,8
Metro,32.26,10.72,Organic,4
Metro,0.52,14.16,Organic,9
NoFrills,21.54,20.76,Organic,7
Walmart,10.29,16.87,Organic,5
NoFrills,7.69,49.74,Organic,9
Metro,19.73,40.84,Organic,9
NoFrills,37.16,14.8,Organic,4
Metro,31.08,26.37,Organic,2
Metro,21.56,30.77,Organic,10
TandT,30.68,27.74,Organic,7
Walmart,28.24,47.41,Organic,7
Metro,45.05,35.65,Organic,6
Metro,43.37,19.88,Organic,12
TandT,2.43,58.68,Organic,1
Metro,1.16,18.15,Organic,7
NoFrills,14.48,52.82,Organic,5
Metro,38.42,23.56,Organic,9
TandT,23.56,43.44,Organic,7
Metro,15.65,31.99,Organic,4
TandT,47.07,29.61,Organic,2
NoFrills,33.46,25.17,Organic,2
Walmart,44.07,21.31,Organic,8
TandT,37.83,18.36,Organic,3
TandT,15.21,47.95,Organic,1
Walmart,26.32,12.5,Organic,3
Metro,45.78,28.89,Organic,1
Metro,22.2,42.16,Organic,3
Metro,4.75,27.2,Organic,6
TandT,32.88,58.18,Organic,1
Metro,33.58,55.36,Organic,3
Walmart,11.71,14.58,Organic,11
Metro,0.87,3.56,Organic,6
NoFrills,31.9,41.38,Organic,1
NoFrills,8.91,39.31,Organic,12
NoFrills,17.56,57.58,Organic,7
Metro,7.4,9.57,Organic,12
Metro,29.7,13.35,Organic,8
Walmart,8.58,13.56,Organic,5
NoFrills,2.02,27.41,Organic,7
Metro,16.58,45.22,Organic,9
NoFrills,43.19,6.19,Organic,1
Walmart,34.48,21.65,Organic,11
NoFrills,19.5,47.4,Organic,7
Walmart,20.62,35.05,Organic,6
NoFrills,49.71,22.52,Organic,12
Metro,43.24,51.27,Organic,2
NoFrills,23.49,29.7,Organic,2
Walmart,44.52,45.45,Organic,10
TandT,22.46,58.01,Organic,4
Metro,24.48,30.59,Organic,5
NoFrills,36.57,9.89,Organic,1
Metro,25.48,40.21,Organic,7
TandT,17.6,31.52,Organic,12
Walmart,3.52,44.93,Organic,12
Walmart,23,25.93,Organic,9
NoFrills,5.85,20.75,Organic,11
TandT,33.38,57.28,Organic,3
TandT,40.04,30.16,Organic,3
Metro,25.53,31.85,Organic,1
Metro,37.83,44.56,Organic,7
TandT,14.73,29.41,Organic,2
Walmart,33.95,2.13,Organic,7
NoFrills,29.65,54.02,Organic,11
NoFrills,2.62,20.08,Organic,7
Metro,1.4,44.39,Organic,7
TandT,31.39,27.22,Organic,8
Walmart,6.65,34.34,Organic,9
NoFrills,19.44,58.14,Organic,7
Metro,11.25,41.32,Organic,12
Metro,23.16,13.78,Organic,3
Metro,33.01,46.39,Organic,3
Metro,2.19,32.15,Organic,9
TandT,26.82,34.49,Organic,3
NoFrills,18.91,8.11,Organic,1
Walmart,5.96,7.31,Organic,3
Walmart,14.19,19.72,Organic,10
TandT,9.25,24.95,Organic,8
TandT,32.09,13.56,Organic,7
Metro,6.97,25.18,Organic,5
Walmart,12.52,6.38,Organic,6
TandT,42.35,46.49,Organic,1
Walmart,30.27,37.49,Organic,11
Metro,35.24,6.96,Organic,7
Metro,41.8,4.92,Organic,12
NoFrills,46.39,18.29,Organic,11
Walmart,39.3,5.31,Organic,11
Metro,5.22,42.44,Organic,1
TandT,30.26,39.91,Organic,11
NoFrills,26.45,49.29,Organic,6
Metro,49.11,11.1,Organic,10
Metro,10.51,51.51,Organic,1
Walmart,1.12,59.51,Organic,7
Walmart,49.67,11.41,Organic,11
Metro,19.13,51.31,Organic,9
Walmart,34.31,32.41,Organic,9
Metro,41.76,47.14,Organic,1
TandT,41.24,44.17,Organic,9
Walmart,39.72,19.68,Organic,1
Walmart,12.72,57.96,Organic,7
Metro,43.97,22.84,Organic,7
NoFrills,4.75,48.51,Organic,9
TandT,49.01,26.87,Organic,3
Metro,42.54,5.2,Organic,9
Walmart,24.71,3.15,Organic,3
Walmart,19.63,23.04,Organic,1
Metro,19.04,19.19,Organic,12
NoFrills,31.74,51.99,Organic,2
Walmart,12.59,50.2,Organic,8
Walmart,47.79,4.26,Organic,11
NoFrills,23.42,14.37,Organic,5
Walmart,19.09,11.8,Organic,4
Metro,18.15,45.77,Organic,2
Walmart,39.09,6.8,Organic,3
Metro,44.43,57.62,Organic,9
TandT,12.47,9.38,Organic,1
Walmart,2.74,31.43,Organic,9
TandT,45.27,4.57,Organic,8
Walmart,5.63,29.89,Organic,11
Metro,8.65,29.5,Organic,2
NoFrills,6.58,23.96,Organic,12
Walmart,4.41,5.44,Organic,2
Metro,39.74,17.08,Organic,6
TandT,45.32,42.16,Organic,10
TandT,42.43,43.74,Organic,3
Walmart,30.8,11.03,Organic,12
Metro,14.96,18.78,Organic,7
Metro,18.52,40.96,Organic,3
Metro,11.89,25.86,Organic,2
NoFrills,6.82,9.93,Organic,3
TandT,31.45,9.92,Organic,10
TandT,2.43,19.52,Organic,11
TandT,30.29,55.68,Organic,4
Metro,12.84,49.12,Organic,7
TandT,26.13,35.75,Organic,6
Metro,9.04,52.79,Organic,10
TandT,13.62,17.36,Organic,5
Metro,25.05,32.97,Organic,3
NoFrills,15.1,2.28,Organic,3
TandT,37.32,49.39,Organic,5
Walmart,44.53,28.67,Organic,5
Walmart,4.87,57.82,Organic,4
TandT,8.87,8.82,Organic,5
Metro,14.5,3.78,Organic,9
Walmart,22.4,53.88,Organic,12
Walmart,16.14,16.24,Organic,11
Metro,13.85,40.44,Organic,12
TandT,25.7,34.02,Organic,12
Metro,41.07,42.71,Organic,8
NoFrills,36.08,31.22,Organic,10
NoFrills,36.7,2.71,Organic,12
Metro,13.68,27.76,Organic,11
Walmart,35.66,52.54,Organic,11
Metro,13.08,34.04,Organic,4
NoFrills,45.52,12.58,Organic,4
Metro,20.43,2.77,Organic,1
TandT,27.79,58.19,Organic,7
Metro,17.85,43.01,Organic,11
TandT,17.24,29.8,Organic,3
Walmart,7.71,34.71,Organic,2
TandT,16.41,39.73,Organic,5
Metro,13.75,43.09,Organic,8
TandT,11.91,6.1,Organic,6
NoFrills,40.12,58.7,Organic,7
NoFrills,26.23,19.28,Organic,2
Metro,29.33,2.02,Organic,7
NoFrills,24.48,48.22,Organic,8
TandT,13.91,44.45,Organic,3
Metro,18.21,23.42,Organic,8
NoFrills,26.69,37.46,Organic,1
NoFrills,37.35,42.71,Organic,10
NoFrills,32.68,20.24,Organic,3
Walmart,47.99,56,Organic,3
NoFrills,9.86,12.66,Organic,10
Walmart,31.35,6.97,Organic,1
Walmart,45.65,57.11,Organic,10
TandT,27.37,58.94,Organic,8
Metro,47.91,49.06,Organic,6
TandT,8.26,51.92,Organic,5
Walmart,8.84,33.17,Organic,10
TandT,4.94,42.72,Organic,2
TandT,27.39,29.58,Organic,10
NoFrills,38.53,2.72,Organic,4
NoFrills,40.89,29.63,Organic,7
Walmart,23.64,10.11,Organic,3
TandT,0.54,58.69,Organic,9
Metro,18.82,23.64,Organic,1
Metro,32.48,22.09,Organic,1
Walmart,41.67,30.83,Organic,4
Walmart,40.17,37.08,Organic,1
TandT,13.34,40.3,Organic,8
NoFrills,49.47,32.62,Organic,6
NoFrills,19.97,3.67,Organic,10
Metro,22.7,45.33,Organic,4
TandT,5.71,18.17,Organic,9
Metro,29.36,4.78,Organic,6
Metro,35.71,31.42,Organic,12
Walmart,34.88,56.96,Organic,2
Walmart,40.9,17.26,Organic,4
Metro,16.32,58.68,Organic,8
NoFrills,13.93,2.8,Organic,11
NoFrills,40.85,36.48,Organic,6
Walmart,29.46,19.77,Organic,11
Metro,41.44,54.69,Organic,8
Metro,25.57,9.78,Organic,4
NoFrills,27.17,28.8,Organic,12
Walmart,13.74,40.93,Organic,10
Walmart,36.65,44.17,Organic,5
NoFrills,40.73,51.16,Organic,1
TandT,44.41,36.34,Organic,11
Metro,30.85,16.91,Organic,9
TandT,41.04,20.36,Organic,8
NoFrills,36.79,24.42,Organic,2
Metro,38.1,51.01,Organic,8
Metro,4.98,9.43,Organic,10
Metro,3.83,16,Organic,9
Walmart,34.58,5.96,Organic,11
TandT,34.76,29.15,Organic,9
TandT,37.39,33.79,Organic,12
NoFrills,11.28,10.41,Organic,12
TandT,38.8,55.9,Organic,10
NoFrills,47.46,46.36,Organic,9
TandT,3.23,25.27,Organic,10
Metro,34.94,6.84,Organic,10
Metro,37.05,44.93,Organic,2
Metro,47.11,3.84,Organic,4
TandT,31.02,15.88,Organic,4
NoFrills,30.09,14.63,Organic,4
Metro,40.26,42.51,Organic,9
Metro,4.42,42.11,Organic,1
Walmart,21.26,46.31,Organic,12
Metro,0.86,27.3,Organic,7
NoFrills,33.68,38.36,Organic,11
TandT,12.8,52.87,Organic,9
Metro,12.76,51.96,Organic,8
Walmart,26.44,2.47,Organic,2
TandT,2.86,48.77,Organic,8
Walmart,42.19,19.89,Organic,7
Walmart,26.97,31.25,Organic,5
NoFrills,13.66,22.07,Organic,9
Walmart,15.76,48.78,Organic,11
Walmart,10.1,16.66,Organic,9
NoFrills,33.36,33.37,Organic,7
TandT,13.6,41.51,Organic,11
NoFrills,37.81,19.15,Organic,5
TandT,36.49,17.2,Organic,1
Walmart,47.51,52.46,Organic,11
Walmart,17.34,30.25,Organic,2
Metro,28.6,21.74,Organic,7
NoFrills,28.71,48.8,Organic,9
NoFrills,48.09,28.04,Organic,8
NoFrills,34.17,26.71,Organic,7
Metro,4.79,49.4,Organic,4
Metro,12.6,53.65,Organic,8
NoFrills,18.69,11.36,Organic,11
NoFrills,32.58,53.51,Organic,3
Metro,33.41,45.48,Organic,7
Walmart,30.72,41.28,Organic,1
NoFrills,17.39,36.16,Organic,11
TandT,29.48,44.96,Organic,3
NoFrills,13.61,1.99,Organic,8
TandT,34.24,41.49,Organic,2
Metro,29.5,24.3,Organic,9
NoFrills,31.87,32.25,Organic,5
Metro,30.94,20.2,Organic,6
NoFrills,35.7,43.75,Organic,2
Walmart,48.99,7.85,Organic,9
Walmart,37.79,23.12,Organic,3
NoFrills,24.64,49.52,Organic,11
Walmart,11.49,34.73,Organic,2
NoFrills,41.69,8.63,Organic,11
NoFrills,46.53,42.28,Organic,6
Walmart,13.5,19.92,Organic,9
NoFrills,28.56,14.24,Organic,12
Metro,48.28,30.7,Organic,1
TandT,39.24,30.49,Organic,11
TandT,46.03,45.86,Organic,7
NoFrills,17.73,30.71,Organic,4
Walmart,30.63,40.81,Organic,3
TandT,42.16,51.98,Organic,3
TandT,44.25,42.92,Organic,4
NoFrills,27.91,29.02,Organic,2
NoFrills,5.94,44.04,Organic,4
Walmart,28.77,8.99,Organic,12
NoFrills,15.67,40.58,Organic,4
TandT,34.17,25.45,Organic,9
Walmart,44.45,23.25,Organic,1
Walmart,8.07,2.24,Organic,4
Metro,7.45,3.11,Organic,10
NoFrills,0.83,46.46,Organic,9
Metro,20.79,36.19,Organic,7
Metro,35.94,6,Organic,6
Walmart,16.88,17.78,Organic,4
Metro,34.34,26.63,Organic,6
NoFrills,5.07,21.6,Organic,8
NoFrills,27.43,34.35,Organic,10
Walmart,8.34,44.58,Organic,7
TandT,2.79,4.56,Organic,7
TandT,10.9,2.18,Organic,2
Walmart,3.06,19.52,Organic,10
Walmart,10.7,15.55,Organic,10
Metro,13.32,8.52,Organic,8
Metro,48.67,57.61,Organic,10
Walmart,21.26,27.21,Organic,5
NoFrills,10.63,18,Organic,5
Metro,24.38,58.6,Organic,6
Metro,29.76,20.59,Organic,2
Walmart,6.78,36.45,Organic,7
NoFrills,24.62,20.54,Organic,4
TandT,29.41,3.1,Organic,5
Metro,8.47,54.99,Organic,8
TandT,18.74,55,Organic,9
Walmart,7.6,52.65,Organic,6
TandT,46.92,32.34,Organic,12
Metro,39.03,26.22,Organic,5
TandT,8.08,55.24,Organic,4
Metro,9.33,35.97,Organic,12
